cafeName,beverageScore,serviceScore,atmosphereScore
KAFFE BAGERI Stockholm,5,5,5
KAFFE BAGERI Stockholm,2,3,3
KAFFE BAGERI Stockholm,5,5,5
KAFFE BAGERI Stockholm,5,5,5
KAFFE BAGERI Stockholm,5,5,5
KAFFE BAGERI Stockholm,1,4,4
KAFFE BAGERI Stockholm,2,5,4
KAFFE BAGERI Stockholm,5,5,5
KAFFE BAGERI Stockholm,5,5,5
KAFFE BAGERI Stockholm,5,5,5
KAFFE BAGERI Stockholm,5,5,5
KAFFE BAGERI Stockholm,3,4,4
KAFFE BAGERI Stockholm,5,4,5
KAFFE BAGERI Stockholm,5,5,5
KAFFE BAGERI Stockholm,5,5,5
KAFFE BAGERI Stockholm,4,5,5
KAFFE BAGERI Stockholm,5,5,5
KAFFE BAGERI Stockholm,5,5,5
KAFFE BAGERI Stockholm,5,5,5
KAFFE BAGERI Stockholm,3,5,4
KAFFE BAGERI Stockholm,5,5,5
KAFFE BAGERI Stockholm,5,5,5
KAFFE BAGERI Stockholm,5,5,5
CYTAT Café,3,3,4
CYTAT Café,5,5,5
CYTAT Café,null,4,5
CYTAT Café,5,4,5
CYTAT Café,5,5,5
CYTAT Café,5,5,5
CYTAT Café,3,1,2
CYTAT Café,null,null,5
CYTAT Café,5,5,5
CYTAT Café,5,4,4
CYTAT Café,5,5,5
CYTAT Café,5,5,5
CYTAT Café,5,5,5
CYTAT Café,4,4,5
CYTAT Café,null,1,null
CYTAT Café,5,5,5
CYTAT Café,5,5,5
CYTAT Café,5,4,5
CYTAT Café,5,5,5
CYTAT Café,5,5,5
CYTAT Café,4,5,5
CYTAT Café,5,5,5
CYTAT Café,5,4,5
CYTAT Café,1,3,3
Blumen Café,5,5,5
Blumen Café,5,5,5
Blumen Café,4,5,5
Blumen Café,1,1,1
Blumen Café,5,5,5
Blumen Café,5,5,5
Blumen Café,5,4,5
Blumen Café,5,4,5
Blumen Café,5,5,5
Blumen Café,5,5,5
Blumen Café,5,5,5
Blumen Café,5,5,5
Blumen Café,5,5,5
Blumen Café,5,5,5
Blumen Café,5,5,5
Blumen Café,5,5,5
Blumen Café,5,5,5
Blumen Café,5,5,5
Blumen Café,5,5,5
Blumen Café,4,5,4
Blumen Café,4,5,5
Blumen Café,5,5,5
Blumen Café,4,4,5
Blumen Café,5,5,5
Blumen Café,5,5,5
Blumen Café,5,5,4
Mleczarnia,5,4,5
Mleczarnia,5,5,5
Mleczarnia,5,5,5
Mleczarnia,5,5,5
Mleczarnia,3,3,4
Mleczarnia,5,5,5
Mleczarnia,5,5,5
Mleczarnia,5,5,5
Mleczarnia,5,5,5
Mleczarnia,4,3,5
Mleczarnia,5,4,5
Mleczarnia,null,5,5
Mleczarnia,4,5,5
Mleczarnia,5,5,5
Mleczarnia,5,5,5
Mleczarnia,5,5,5
Mleczarnia,5,5,5
Mleczarnia,4,4,5
Mleczarnia,null,5,5
Mleczarnia,2,4,5
Mleczarnia,5,5,5
Mleczarnia,5,5,5
Mleczarnia,5,5,5
Mleczarnia,1,1,1
Mleczarnia,5,5,5
Mleczarnia,4,3,5
COFFEE GARDEN,5,5,5
COFFEE GARDEN,5,5,5
COFFEE GARDEN,3,5,5
COFFEE GARDEN,5,5,5
COFFEE GARDEN,5,5,5
COFFEE GARDEN,5,5,5
COFFEE GARDEN,4,5,4
COFFEE GARDEN,5,5,5
COFFEE GARDEN,5,5,5
COFFEE GARDEN,5,4,3
COFFEE GARDEN,null,1,4
COFFEE GARDEN,5,5,5
COFFEE GARDEN,4,5,5
COFFEE GARDEN,5,5,5
COFFEE GARDEN,5,5,5
COFFEE GARDEN,5,5,5
COFFEE GARDEN,5,5,5
COFFEE GARDEN,5,5,5
COFFEE GARDEN,5,5,5
COFFEE GARDEN,1,3,2
COFFEE GARDEN,5,5,5
COFFEE GARDEN,5,5,5
COFFEE GARDEN,4,4,5
COFFEE GARDEN,5,5,4
COFFEE GARDEN,5,5,5
COFFEE GARDEN,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,null,4,4
FINCA COFFEE,5,5,4
FINCA COFFEE,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,5,4,4
FINCA COFFEE,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,4,3,2
FINCA COFFEE,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,5,5,5
FINCA COFFEE,5,4,4
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,4,5,5
Cafe Kładka,5,4,5
Cafe Kładka,5,5,5
Cafe Kładka,4,4,4
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Cafe Kładka,5,5,5
Urban Coffee,5,5,5
Urban Coffee,4,5,4
Urban Coffee,5,5,5
Urban Coffee,5,5,5
Urban Coffee,5,5,5
Urban Coffee,5,5,5
Urban Coffee,5,5,5
